A,B,C,D,E,F,CLASS
40,54,22,88,9,99,1
93,63,46,29,91,82,1
23,17,42,4,48,6,1
43,96,96,61,64,41,0
72,40,87,35,19,97,1
6,80,18,49,12,26,1
82,58,78,81,9,23,1
64,81,27,70,77,64,0
55,96,59,53,41,56,1
79,56,50,50,16,9,1
65,2,58,51,78,48,1
44,48,43,76,34,87,0
96,5,39,92,42,100,0
84,13,49,18,90,44,0
82,95,87,62,47,78,0
54,36,26,34,79,44,1
71,98,26,47,48,82,0
16,44,95,74,91,87,1
13,66,2,90,40,69,1
8,18,89,2,77,71,0
83,19,56,25,68,19,0
18,20,38,27,17,2,0
69,15,93,81,3,24,1
60,50,53,52,31,61,1
20,85,86,45,98,34,0
97,78,24,100,93,82,0
81,39,21,11,11,55,1
3,70,0,63,73,51,0
54,40,49,28,36,28,1
81,16,75,93,22,53,1
45,14,66,81,74,67,1
77,60,10,31,90,11,0
67,19,73,52,75,87,0
77,4,80,7,34,47,0
31,62,22,77,98,88,0
30,61,92,88,14,9,0
24,13,12,59,89,1,0
57,46,98,44,20,76,0
6,25,20,2,56,47,1
42,74,72,17,92,25,1
4,74,82,56,72,41,0
27,79,56,70,22,32,1
46,19,97,12,27,19,0
74,2,26,20,82,60,0
26,81,24,5,30,34,1
30,50,6,43,41,55,0
91,37,64,66,6,63,1
78,73,81,38,40,49,0
14,78,74,99,62,80,0
22,27,50,32,30,54,0
6,98,58,31,14,2,0
35,10,96,75,56,13,0
58,79,39,52,69,99,0
64,51,86,46,45,88,1
2,98,59,84,45,69,0
82,38,18,95,96,1,0
29,71,9,8,66,57,0
46,17,98,11,96,5,0
44,37,15,78,50,88,1
0,19,79,85,10,44,0
41,28,19,94,35,9,1
4,39,7,54,26,80,1
80,40,77,25,73,27,1
72,47,59,13,66,54,0
85,23,39,30,37,11,0
4,6,98,59,50,21,0
27,73,60,78,25,8,1
87,19,7,49,95,31,1
20,77,95,50,7,38,0
98,39,84,31,71,88,1
10,69,3,37,30,79,1
76,86,26,45,27,67,1
4,90,88,77,39,11,1
44,58,79,89,7,68,0
67,60,34,21,58,3,0
14,25,62,29,71,20,1
21,59,80,46,50,91,1
84,28,42,62,63,4,0
66,57,44,39,38,1,1
82,64,95,36,40,33,0
54,94,42,54,13,25,0
40,100,93,2,30,64,0
42,76,75,28,78,45,0
64,99,32,68,94,63,0
5,27,30,27,50,54,0
24,35,33,3,95,47,1
84,72,74,28,42,74,1
99,27,60,38,43,21,0
7,90,3,30,18,98,1
40,56,96,48,30,59,0
58,97,67,16,100,98,0
20,39,32,51,21,27,0
97,2,57,47,12,4,0
87,47,70,55,56,31,0
87,43,93,12,12,66,0
0,16,34,2,55,84,1
64,76,32,13,62,18,1
12,93,88,9,31,83,0
92,31,82,85,32,88,1
44,9,86,23,81,2,1
21,18,19,64,95,46,0
66,12,51,53,14,89,1
59,31,82,33,30,32,0
25,30,23,4,7,83,0
71,95,90,40,25,73,1
70,50,62,42,20,100,1
33,78,42,48,16,33,1
30,90,19,89,20,59,1
75,6,2,40,91,9,1
24,51,30,71,49,87,0
35,57,98,85,17,10,0
25,12,25,32,49,6,1
23,4,36,96,76,12,1
100,38,13,72,92,55,1
53,91,17,99,88,75,0
5,7,94,63,72,41,0
55,14,37,94,25,11,0
16,26,20,22,86,51,1
14,86,40,41,55,75,0
82,11,19,44,53,76,0
34,4,23,79,64,35,0
86,35,98,62,70,75,0
52,75,90,87,20,72,0
41,52,49,59,58,3,0
17,74,45,78,83,3,0
44,63,10,77,89,38,0
32,0,0,26,20,49,0
41,8,28,58,46,88,1
55,22,38,51,27,23,0
31,60,49,35,73,86,1
65,15,79,33,81,49,0
91,99,78,12,44,13,1
26,50,17,36,23,0,1
23,47,93,22,56,8,1
53,57,59,21,54,92,1
36,43,1,94,36,51,1
6,41,31,80,84,30,0
5,38,38,9,30,99,1
4,45,15,6,35,89,1
3,33,1,91,42,2,1
7,37,36,73,67,42,1
36,6,1,28,8,90,0
57,66,76,61,29,90,1
82,20,67,50,64,11,1
57,34,82,67,26,36,1
91,6,87,12,11,73,1
62,79,27,73,33,51,0
55,84,3,18,22,19,0
53,34,68,96,43,51,0
71,49,67,63,27,81,1
37,92,15,99,5,40,0
86,61,52,61,92,21,1
78,86,8,52,84,77,1
43,44,59,9,74,33,0
3,73,14,42,14,33,0
42,33,40,72,69,42,0
53,33,81,88,50,24,1
83,16,58,16,3,68,1
7,96,14,62,55,18,1
17,68,75,45,53,35,1
88,43,43,16,46,36,1
0,16,83,89,15,12,0
30,48,38,16,33,83,1
23,18,53,29,34,38,0
51,60,88,31,46,11,0
55,100,41,67,59,30,0
19,66,64,94,15,3,1
9,39,87,90,69,10,1
5,58,58,48,50,0,0
70,50,53,44,69,51,1
28,57,63,27,41,85,1
56,15,24,67,22,13,1
72,52,73,71,22,48,1
10,100,72,92,25,46,1
95,87,68,83,31,5,1
49,100,68,95,17,59,1
91,84,34,23,26,2,0
62,30,21,15,78,51,1
20,53,73,67,67,45,1
37,60,79,81,58,28,1
10,16,84,48,49,89,1
23,52,32,40,82,58,1
47,93,21,65,60,30,1
97,34,35,88,89,79,0
28,23,45,72,33,47,1
43,47,80,17,61,8,1
67,24,75,64,0,85,1
2,38,39,11,74,60,0
73,20,45,16,87,99,1
63,1,39,40,8,15,0
27,76,44,48,13,24,1
28,23,39,35,76,37,1
5,77,18,9,94,25,0
47,72,40,74,66,13,1
7,14,92,10,64,90,1
32,93,82,29,81,99,0
85,94,33,3,94,36,0
78,56,12,33,81,29,1
78,43,9,20,85,92,0
71,87,21,73,97,0,0
57,65,9,86,29,16,0
88,30,95,33,87,79,1
76,41,10,14,92,66,1
7,55,29,52,38,43,0
13,80,68,89,62,27,1
